x,y
My meeting with my boss today was a happy one!,Colleagues
Not sure what to do when boss comes to my cubicle.,Colleagues
People wanted to do it but they all were very shy to take a single step.,Family
I have always felt like I should try harder in life.,CareerAndEducation
I tried to talk to my friend but she didn't listen.,Friendship
Me and my boss are not on good terms.,Colleagues
It went from being rocking to being a failure.,Music
My taste in music depends on my mood.,Music
My boss appointed me head of the project.,Colleagues
The living condition of rich people cannot be compared with poor people.,Money
I will be participating in the local marathon.,Health
History is nothing more than a tableau of crimes and misfortunes.,Family
I found my new classmates very attractive.,Colleagues
Men with shredded physique are the best.,Health
I made a wrong choice by opting to run a mile every morning.,Health
I ordered a different dish today.,Food
I think I have started liking this new show on TV!,FilmAndTV
I have never felt the urge to spend lavishly.,Money
My school has talented kids.,CareerAndEducation
I had to tell my friends about my feelings towards them.,Friendship
My colleague seems to work day and night.,Colleagues
I prepare okra water by overnight steeping of slit pieces of okra.,Food
My sister and her partner have agreed with my decision.,Partner
People should not undermine the value of competition.,Sport
What do you think are your benefits?,Technology
The only way to eradicate poverty is by educating the people.,CareerAndEducation
I like each of their songs.,Music
"When my boss called me to the cabin for a talk, I was nervous.",Colleagues
E-cigarettes are trending.,Health
I like movies with some drama or comedy.,FilmAndTV
I admire Ronaldo for his dedication towards soccer.,Sport
I fear my mother.,Family
How many players can play basketball?,Sport
I feel jealous when my wife talks to her male colleagues from work.,Partner
I went to see an amazing play at the theatre last night.,FilmAndTV
Technology is influencing the way we live our lives.,Technology
Many of my batch mates chose to be Entrepreneurs.,Friendship
What is the meaning of rich people?,Money
I told Alex that I would delegate tasks to him when he would be older.,Politics
I aim to be an expert in the field of philosophy of pain.,Health
What does well being include?,Health
"Since running was something I was used to, I combined it with hard-core cardio!",Health
One of my former colleague has just been elected to be a governor in her state.,Colleagues
I avoid watching horror movies.,FilmAndTV
I had a minor accident but the doctor said that if I take care of my diet I'll be back to normal soon.,Food
"Oh, I don't feel too well!",Health
My parents said that I can achieve great heights.,Family
I have started to hate my friend.,Friendship
We beat their heads off at an English competition.,Music
I wish I could take some tips on making money from rich people.,Money
I finally had the conversation with him.,Partner
I love using Instagram,Technology
To reduce public spending on well-being would be an act of the greatest folly.,Health
Do you watch Game of thrones?,FilmAndTV
I like romantic movies.,FilmAndTV
The floor was vibrating to the beat of the music.,Music
I want to talk to my parents.,Family
My friends asked me to join the party. I have been thinking about it.,Friendship
I switched from being a basketball player in school to a law student in college.,Politics
"After being hit by a tree while picnicking with my friends, I swore a lot!",Friendship
I stopped it for a while. Now I tried doing it again. But I feel breathless.,Health
I decided to prosecute my colleagues for unethical behaviour.,Colleagues
I want to do skydiving.,Sport
My friend’s hobby is studying.,Friendship
I got into a fight with my classmates because they were teasing me.,Colleagues
I aim to be an expert in the field of philosophy of education.,CareerAndEducation
I have planned a party for my parents.,Family
My partner wants an open relationship.,Partner
Where do you live?,Technology
"As new parents, my partner and I do not get enough sleep.",Partner
I want to learn all about playing guitar.,Music
"When I was a little kid, I did not like eating veggies.",Food
I like my colleagues but sometimes they act really bad,Colleagues
I know show a sushi is made.,Food
My favourite food is chicken noodles.,Food
Each one of my friends is extremely skilled and talented.,Friendship
I have stopped using social media for connecting with people.,Technology
Do you listen to folk music?,Music
I want to overcome the memories given by him.,Health
Liam has used his girlfriend to get to me.,Partner
The politician wants to decrease the income of the government employees.,Politics
I have a class test in the coming week.,CareerAndEducation
The boss seems angry at Larry.,Colleagues
Television is a handy medium for children to learn new things.,Technology
Is alcohol a drug?,Food
All my friends chose to move on.,Friendship
Doctors working in an operating theatre have to mask their noses and mouths with a specially clean cloth.,FilmAndTV
I will soon become a father.,Family
I don't want to get pranked by my friend again because it disappoints me!,Friendship
They chose to remain my partner.,Partner
You know my current job is interesting.,CareerAndEducation
A tussle broke out among the crowd once the final decision had been passed by the judges!,Politics
I like the dog lovers.,Partner
I was really angry when my boss refused to give me credit for all the hard work I had put in.,Colleagues
I never forget to send my wife flowers on our wedding anniversary.,Partner
My friends completely ignored me when I walked past them in the canteen.,Food
I will have a puppy to take care of my wellness this weekend.,Health
Not everyone is born healthy.,Health
I'll only be investing in the industrial sector.,Money
I repent the choices that I made as a teenager.,Family
It was so hard to let go all of our memories.,Health
I see my career in politics.,Politics
My colleague took credit for my work. Again!,Colleagues
I think my employees are calling for a mutiny.,CareerAndEducation
"Clara made sandwiches wearing gloves, today.",Food
I interacted with the stage actors!,FilmAndTV
I think it is better to drink lemonade rather than soft drinks.,Food
Why is it so hard to make money? I want to be rich!,Money
They faced a problem.,Health
I can't rest if I have to work enough to support my family!,Family
My girlfriend has just spoiled my entire mood!,Partner
I love watching detective movies. What about you?,FilmAndTV
My husband completely misunderstood me. I feel so low.,Partner
Many believe that robots can do perfect work while humans are bound to do error.,Technology
I insisted my father for coming and still he didn't show up.,Family
I did not like to work at my office.,CareerAndEducation
Do you like singing karaoke?,Music
You cannot trust anyone in politics.,Politics
Most furniture are extremely expensive.,Money
Some people make friends very easily.,Friendship
I love working on Technologies.,Technology
My colleague is out of shape but still likes to wear skin tight clothes.,Colleagues
My friend has bought a Rolex watch!,Friendship
AI researchers are trying to build machines with self-awareness.,Technology
Poor people can also come up in their life.,Money
I worked a massive deal while I was sick.,Health
Be far from those friends who can spoil your life.,Friendship
Q-Base of Germany is a good music festival.,Music
I have worked hard to become rich.,Money
I want to bring a change in the political diaspora.,Politics
If only I could get some time off from work to learn something exciting.,Music
My boss' disappointment towards my work has demotivated me further.,Colleagues
My computer started behaving strangely and stopped working abruptly.,Technology
I feel so out of shape.,Health
The crux of the discussion on AI is based on the fact that we cannot predict it's behaviour as a super intelligent system.,Technology
I like melodic and silent music very much.,Music
I was seeing an emotional movie and got quite bored.,FilmAndTV
My dance competition is in next week.,Sport
The sudden cancellation of the concert is really disappointing!,Music
My best friend thinks ever since I have moved out of town she has become lonely.,Friendship
I have invested in a good set of speakers.,Music
I think I should be paid more.,Money
Do you like and follow celebrities?,FilmAndTV
I have many partners in business.,CareerAndEducation
I don't have a girlfriend.,Partner
They are my favourite janitors.,CareerAndEducation
My friend's biggest achievement till date is getting an offer from Apple.,Food
Leslie regarded the little kids like her own brother and sister!,Family
"Apparently, many supported the ideology of Hitler.",Politics
I used to hate coffee.,Food
I only prefer Whiskey when in the mood of party.,Food
"Do you think that politicians are, in general, honest?",Politics
My friend has been selected for the Olympics swimming team.,Sport
Donald Trump was elected as the President of USA in last elections!,Politics
There are so many places which promote love and not war.,Politics
I love watching horror shows while eating nachos.,Friendship
I think my parents are lost.,Family
Apple is hands down the best brand ever.,Food
I need to start eating healthier food.,Food
I find American late night TV to be quite entertaining.,FilmAndTV
I found the speech by my boss really motivating.,Colleagues
My dream is to be an actor and act in a play someday.,FilmAndTV
My expectations were very high with my new phone.,Technology
Flip phones are a style statement these days.,Technology
One of my good friends got married today!,Friendship
She visited the school with the aim of seeing the library.,CareerAndEducation
I never forget my protein shake while going to the gym!,Sport
I was not allowed to trade on account of mortgaged bills!,Money
I wouldn't be willing to waste more time than is necessary on a person!,Friendship
My partner is an actor.,FilmAndTV
I would rather die young but healthy than have a long unhealthy old age.,Health
My colleague was transferred to an overseas branch.,Colleagues
Rich people should not have attitude.,Money
I don't enjoy showing off my income.,Money
My work life is challenging.,CareerAndEducation
The features of my phone are very limited,Technology
I don't know if I should buy a coffee table.,Food
I like to play piano.,Music
"Poverty is a reality, just like when humanity began. We had nothing.",Money
They always pre-plan my work.,CareerAndEducation
This drama needs a good script.,FilmAndTV
I want to went out some anger.,Health
I once climbed a tree as a kid.,Family
We need to understand that difficult situations are part and parcel of life.,Technology
It was wrong for the chairman to throw his colleague out.,Colleagues
AI powered cars were supposed to be sci-fi and yet I saw one yesterday!,FilmAndTV
I'll assist my son in writing a book.,Family
Drinking the protein shake has helped me develop good muscles!,Food
"Now that pipe line is working, I want them to use it for useful purposes.",CareerAndEducation
My partner will take some time to figure things out.,Partner
I can't believe Manchester United lost the football match yesterday.,Sport
Ever since childhood I have seen my parents only work.,Family
I was disappointed by my Nation's history of War.,Politics
I haven't yet thought about marriage.,Family
My seniors do not want to adopt to new technology to work.,Technology
Would tech be different if women made up half the workforce?,Technology
I want to improve the relationship with my boss.,Colleagues
Do you like chocolates?,Food
Some beggars are neither poverty-stricken nor homeless.,Money
My boss gave a very motivating speech in yesterday's meeting.,Colleagues
The government is debating the education laws.,Politics
This ball belongs to Tim. Isn't it lovely?,Sport
I have been trying to convince my friends do not drink in a party but all of my efforts went in vain.,Food
My email is not working,Technology
My husband always makes me feel important!,Partner
I miss the emotional outbursts of my sister.,Family
I read an interesting book on cinema today.,FilmAndTV
He is cheating on my mother.,Family
Politics can be conduit and means of change.,Politics
My friends kept on ignoring me in the party.,Friendship
The boss gave a grand party on the eve of Christmas!,Colleagues
My friend is not going to spare me.,Friendship
"When I lack motivation, I spend time alone!",CareerAndEducation
I don't consider myself ambitious but I do like it when my work gets appreciated.,CareerAndEducation
My parents gave away gifts.,Family
I headed out to meet my partner but did not meet him.,Partner
I feel sad because I had a argument with my best friend.,Friendship
I miss my girlfriend.,Partner
My parents are wonderful.,Family
"Others may mutter, but Clinton's ambition explains much.",Politics
All of the technology is used for weaponry.,Technology
I would help people in some other way if I don't have money.,Money
His success draws criticism even from outside baseball's realm.,Sport
I case studies the criminals during my law degree.,Politics
I like the Instax camera. It's pretty good.,FilmAndTV
I think I like my cousin.,Family
I met my neighbours on the way.,Friendship
We all watched such a fight at the boxing ring for the very first time.,Sport
"Poor quality music can’t attract listeners, it can just work for some time.",Music
I have a high level of income.,Money
Celebrities do not care for the feelings of their fans.,FilmAndTV
She doesn't have any friends or relatives to take care of her.,Friendship
I work at the pharmacy.,Health
Parenting is not for everyone.,Family
Those moments with my friends are so precious.,Friendship
I learned to spit fire this Christmas party at my office.,CareerAndEducation
I got a new pair of socks for workout.,Health
I do spend money on clothes only when necessary.,Money
They insisted me to join the drama club.,Sport
A large section of the population is suffering.,Health
My computer is not working at office.,Technology
I told my parents that I joined a political party.,Politics
I addressed my friend's bad behaviour with him this morning.,Friendship
There has to be some inspiration behind my colleague's sudden interest in knitting.,Colleagues
I want to create good music.,Music
I had fun at my aunt's house.,Family
It will be stupid for me to try and beat him!,Music
I like bass more than treble.,Music
My friend said that I disappointed them today!,Friendship
I want to learn about AI,Technology
Those dance moves don't go well with the beats of this particular song.,Music
I feel uninspired.,Music
My goal is to earn a lot of money.,Money
I feel music videos help to enjoy the music better.,Music
What is your colleague name?,Colleagues
I wish the government could fulfil all it's promises!,Politics
One aim of these reforms is effective defence with minimal expenditure.,Money
Misalignment in the intelligence system of AI should be our main cause of concern.,Technology
I asked for a martini at the bar.,Food
My favourite singer is Keisha.,Music
My friends were trying to get Schooled.,Friendship
I worry about the state of current politics,Politics
I want to make a career in politics.,Politics
I want to try getting away from my bad memories.,Health
I read The Game of Thrones novel much before watching it on TV!,FilmAndTV
"Freddie Mercury's life had been a sensational one, to say the least!",Music
I did not win the first place in the dance competition today.,Sport
We produce shirts in our factory.,CareerAndEducation
I need to stop freaking about that and focus on my career.,CareerAndEducation
My partners techniques stopped working for a reason.,Partner
Being a video jockey was not something I wanted as a full-time profession for myself!,Technology
I think playing for an audience will help me.,Sport
Which movie should I watch to make my mood better?,FilmAndTV
Talking on video calls is fun!,Technology
My friend's family has been a victim of tuberculosis.,Friendship
My father never understood my mother.,Family
I always think of being a millionaire.,Money
Some people feel most loved when their partners get them gifts.,Partner
What should I gift my partner?,Partner
I love Scotch eggs with hot coffee in the breakfast.,Food
I deleted all private information on Facebook to stay safe.,Technology
Terrible misunderstanding between two of my close associates is causing a lot of stress & the problem needs to be resolved.,Colleagues
I was quite nervous about playing guitar.,Music
I wrote down my career goals today.,CareerAndEducation
My new colleague is very attractive.,Colleagues
What is your opinion on adoption?,Family
My family was there when he told me about his love and confessed that he was always in love with me.,Family
A sprained muscle can be wrapped in a bandage.,Health
I do not like films laden with nostalgia.,FilmAndTV
Zayn Malik and Gigi Hadid make the cutest couple ever!,FilmAndTV
"My father says that he is a great cook, but he isn't.",Food
I have done theatre during my school days.,FilmAndTV
Do you like cricket?,Sport
I.J. Good had pointed out in 1965 that inventing a truly amazing AI system is a cognitive task in itself.,Technology
"Nothing is bad, nothing is good until unless one gets to know all about them.",Partner
Do you think there would be a sequel to ‘Frozen’?,FilmAndTV
Music industry is developing rapidly.,Music
Why do people turn their backs on those who once were there close acquaintance?,Colleagues
It is not easy to get rich.,Money
Why hasn't your friend paid the rent?,Friendship
My boss expelled me from the academy.,Colleagues
I don't enjoy comparing our earnings.,Money
My partner just made me feel miserable.,Partner
Who is an ideal political leader?,Politics
He consulted a counsellor to overcome his fear of the dark.,Colleagues
How can I score the maximum in my upcoming board exams?,Sport
The judges for the competition included James and Nina.,Politics
The disparity between the rich and the poor has existed since the start.,Money
Diet is more important than workout.,Food
I like my sister in my family.,Family
Nina and I are expecting our first baby!,Family
Arthur won many competitions.,Sport
Yesterday's tennis match was full of drama.,Sport
Harry Houdini was the greatest artist of the last century.,Music
I have studied the history of War.,Politics
My childhood was a bit distorted in the mess.,Family
What is the best system of governance?,Politics
An decrease in eyesight should not have happened.,Health
I need to file my taxes by tomorrow.,Money
My son couldn't solve the puzzle.,Family
I often am unaware where to purchase theatre tickets from!,FilmAndTV
I want to buy the leather sofa this winter.,Money
Marvel is the best in making sci-fi movies!,FilmAndTV
My suggestions got rejected today.,CareerAndEducation
The location should be ideal for knee exercises.,Health
I want to take my parents to a therapist.,Family
I want to volunteer for the conservative party.,Politics
Christian bale is a great actor.,FilmAndTV
I have been thinking about the rampant bullying in my school.,CareerAndEducation
The memories of my late dog often makes me shed tears.,Health
Work hard to get rid of poverty.,Money
I like to eat healthy.,Food
I like to have cookies with cold milk.,Food
I went to the concert recently.,Music
My parents are very strict with my homework.,CareerAndEducation
My parents are emotionally blackmailing me.,Family
I fought with my friends.,Friendship
Viola doesn't handle her finances well.,Music
Do you like science fiction?,FilmAndTV
My law exam will be held next year.,Politics
Listening more to classic music these days.,Music
I attended a Coldplay concert recently!,Music
"If you don't bridge differences with your parents in their old age, when will you?",Family
I find my boss funny. He has a habit of stammering.,Colleagues
The school should provide the kids a balanced mix of games and sports!,Sport
I have been learning how to play violin from a music teacher lately.,Music
Giving money to random poor does not improve the grave situation.,Money
I love dancing on hip hop music.,Music
"Some derive motivation from people, others from quotes, some from themselves.",CareerAndEducation
They chose their monthly annual income accordingly.,Money
I love playing outdoor games.,Sport
The music on the instruments did not sound good.,Music
I really do like watching movies!,FilmAndTV
My mother don’t like noodles.,Food
True friends will never cheat you.,Friendship
My colleague is looking for a suitable match.,Colleagues
Are single people happy?,Family
I couldn’t keep my promise of dieting.,Health
Augmented Reality lets me play and study and has so many utilities!,Technology
We are thinking of organising a health camp this year.,Health
I think I will going to stay unwell for sometime.,Health
We had to save up on a lot of money.,Money
Punctuality is very important for anybody who wants to build a career in the multinational corporation.,CareerAndEducation
My boss asked me to attend the talent workshop today.,Colleagues
Some people buy imitation brand clothing?,Money
My friend's child has some serious temper issues for a 4 year old kid.,Friendship
My boss gave me credit for a project on which a colleague did most of the work. Should I accept the praise?,Colleagues
My relationship with my husband is not working out.,Partner
We started dating after an 8 hour phone call. We just talked and talked and it was so great.,Technology
"I think, I have the best friends!",Friendship
I plan on earning enough to join a law school soon.,Politics
I don't have a healthy relationship with my wife.,Partner
I have always felt like I should be an inventor.,Technology
How changes in money supply affect aggregate demand is a highly controversial issue.,Money
I went to the movies last night.,FilmAndTV
I made a promise to my friend and he still doesn't look impressed!,Friendship
The song freaked my out.,Music
"He seems very fit, might be consuming some supplements!",Health
Live sports have an appeal of their own!,Sport
I think I have malaria.,Health
My knees got hurt today.,Health
My best friend is an exceptional artist.,Music
I try to understand what my teachers wanted me to understand.,CareerAndEducation
We really wanted to watch the movie Man of Steel the other day!,FilmAndTV
My friend suggested me a great song today!,Music
I started playing a motivational game.,Sport
Should I buy gold?,Money
"I had control over that fight, and the water fight.",Food
My boss seems to be favouring young people a lot.,Colleagues
I learned how to make egg rolls today.,Food
I managed to earn all three bonuses and the main weekly bonus.,Money
A stalker recently strangled a colleague of mine.,Colleagues
Is it possible to use AI technology in the www?,Technology
I think they just got a raise.,Money
My children chose to decorate their room with old paintings.,Family
Wow! Prices of bed have gone up a lot in the last decade,Money
My boss threw a surprise party at work today!,Colleagues
I want to become a teacher.,CareerAndEducation
Machines can be taught to automatically send orders by being provided with the label of a product that is running low.,Technology
My sister wants to be a comedian.,Family
I was talkative back in my school days! Not now.,CareerAndEducation
Economic growth is important for increasing workers income every year.,Money
My crush asked me out!,Partner
I like to buy watches.,Money
I know these politicians as they are my father's friends.,Politics
I enjoy cooking and I would love to improve.,Food
"I keep telling school people, focus on both mental and physical wellness.",CareerAndEducation
Spent my whole day with the children at the orphanage and had a great time there.,Family
Have you ever been a part of an office war?,Politics
"It was one of the hardest jobs, according to them.",CareerAndEducation
My sports teacher is very strict.,Sport
My favourite series is Arrow,FilmAndTV
"When life gives you lemons, will you be able to make lemonade?",Food
I want to get my full body check up done!,Health
I chose every single detail of my routine.,Family
My dad is my best friend,Friendship
I miss my old colleagues a lot.,Friendship
Can old people be our best friends?,Friendship
My knee's injury is getting worse,Health
I wanted to create memories.,Health
Skateboarding is so much fun!,Sport
Life is full of competition.,Sport
My colleague is a racist.,Colleagues
My brother's approach towards his health was entirely wrong.,Family
Chinese films are known for their great characters.,FilmAndTV
I play tennis with my family and friends in the weekends.,Sport
I chose to eat Chinese food for dinner tonight!,Food
The musician performed in an excellent manner.,Music
When I was younger I could run two miles without feeling tired.,Sport
Reading nutrition information on the food packets is important.,Food
I think my neighbour will get a divorce soon!,Partner
"When I was a kid, my parents used to punish me by not letting me watch TV.",FilmAndTV
"Ever since my friend's phone got stolen, I fear that my mine will get stolen too!",Technology
I need to keep a track of the amount of time that I spend on my computer.,Technology
I do not like being around my sister's friends.,Friendship
We had my dad's old friend over for dinner.,Friendship
People search for motivation in wrong places.,CareerAndEducation
My distraction from music is bothering me.,Music
I like buying the latest phone models!,Technology
I have been out of form for a long period of time and I need to get back.,Health
He is on the bench today because of injuries!,Health
My boyfriend is not picking up my call,Partner
I want to try Skydiving on a special occasion.,Sport
I have a special recipe for a cocktail.,Food
I can't make friends easily.,Friendship
I loved that movie as it reduced my mental pressure.,FilmAndTV
My skin has lost its shine lately and I have no idea how to restore it.,Health
My sister likes to paint when she is free.,Family
I had no intention to hurt Beverly but she seems to have take it the wrong!,Partner
My girlfriend is so pretty,Partner
I think I will switch from a corporate job to a government job.,Politics
I really want to eat whatever I can find right now.,Food
Mark Zuckerberg and Elon Musk are likeable billionaires.,Technology
My colleagues hate me.,Colleagues
My friend isn't talking to me,Friendship
Brexit will have a sizeable impact on food imports as well.,Food
I told my boss I want a raise today.,Colleagues
I found the perfect gift for my parents.,Family
My partner is very nice around dogs.,Partner
Parents were busy with their stuff.,Family
Doctors are still working on curing cancer.,Health
I like Justin Trudeau for his Compassionate nature.,Politics
Most of my schoolmates are backbiters!,Colleagues
Poverty is the root of all evil.,Money
I have enrolled as an intern dietician.,Health
My parents were really angry at me.,Family
"I found it stressing to deal with my partners but now that they're gone, I miss the drama!",Partner
I want to become financially independent by the end of next year.,Money
Did your friend get drenched in the rain?,Friendship
I have a history test today,Family
I organised a party for my friends.,Friendship
My friend got hurt while fighting.,Friendship
I hate going out with my colleagues!,Colleagues
"I think my boss is ambitious and hence, I like him.",Colleagues
I started watching television dramas.,Technology
I will be cooking mushrooms for tonight's dinner.,Food
I want to understand the latest technology.,Technology
"Alone and scared, I tried calling, but the phone wasn't working.",Technology
Adopting a dog is easy and required.,Family
Playing cricket is so much fun!,Sport
"Social Networking is all the hype these days, isn't it?",Technology
I used to play a lot of board games.,Sport
I have focused all my attention on my educational qualifications.,CareerAndEducation
My colleagues are really helpful and good natured.,Colleagues
I always loved a book of nursery rhymes!,Family
Competitive sporting events provides for such an adrenaline rush.,Sport
He likes to eat Chinese food!,Food
I wish I could help the homeless old woman!,Money
Politics is becoming unethical,Politics
Being a professional martial artist isn’t an easy life!,Music
My little daughter wanted to get into her crib.,Family
My friend likes salad.,Food
My parents aren't legally married because they chose to be in an open relationship.,Family
I do not like the way he eats.,Food
I can not do it.,CareerAndEducation
"Lavina said, ""I can't reach the washing machine switch.""",Family
I think exams ruin education.,CareerAndEducation
I love studying history of Kings.,CareerAndEducation
I hit my arm on the door.,Health
Is it mandatory to have colleagues?,Colleagues
Warren Buffett is an inspiration for me.,Money
The printer stopped working all of a sudden.,Technology
Truth is the daughter of time.,Family
I miss being with my coaches and other teammates!,Colleagues
My parents are shifting to a different location soon.,Family
I want to pursue music as my career.,Music
My boss reprimanded me for an occasional lapse in ethical behaviour.,Colleagues
The children has special educational needs and require one-to-one attention.,CareerAndEducation
I hate seeing my ex-wife.,Partner
It is also easier for companies to get consistent performance across multiple domains.,Technology
I have consulted lawyers for my case.,CareerAndEducation
World War 2 was the most significant moment of human history.,Politics
I always look up to my childhood friend as an inspiration.,Friendship
Several artists inspired me to take wall painting.,Music
The doors' was the best band in the history of music.,Music
I think playing light music during breaks might help people relax.,Music
I changed my plan of pursuing professional basketball.,Sport
I might give away my clothes to the homeless but would they take it?,Money
I have a tennis court at my father's house.,Sport
I change my decision of forgetting her memories.,Health
Me and my friends are connected with each other on either social-media or on phone.,Technology
Isn't it lovely to own a company?,Partner
My friend and I are going to the canteen.,Food
Some people say they wanted to learn different languages at school.,CareerAndEducation
My mum wears a hearing aid to help her hear more clearly.,Family
The Rising is a very good song.,Music
I watched a newly released movie.,FilmAndTV
I like to listen to romantic songs.,Partner
My husband comes home exhausted after having to work all day.,Partner
Does he have any single friends?,Friendship
Keira Knightley's acting in Pride and Prejudice is so romantic!,FilmAndTV
I think they are the best partners anybody could have.,Partner
My friend's graduating next month.,Friendship
A person in our office bullies others.,CareerAndEducation
My colleagues are bubbling with happiness.,Colleagues
Does your friend like action packed movies?,FilmAndTV
My music taste has evolved over time.,Music
My brother was always fond of horses.,Family
He is not fit to be a celebrity.,FilmAndTV
My friend tried ice hockey and I want to try it too!,Sport
I love cheese.,Food
Somersault seems fun and a easy thing to do!,Sport
I don't like Coffee at all!,Food
I love going to concerts at different places.,Music
Alexa loves to watch movies associated with the Marvel Cinematic Universe.,FilmAndTV
My boss doesn't resolve worker grievances.,Colleagues
"For a lot of physically disabled people, typing on the keyboard is not an option.",Music
Playing cards is such a lot of fun.,Sport
How come time is money?,Money
My partner is facing mental health problems.,Partner
I suck at aerobics class!,Sport
What is your view on the politics here?,Politics
Protest against injustice is going on outside.,Politics
She is so confused about me.,Partner
I forgot to RSVP on a friend's invitation. What should I do?,Friendship
"I've so many memories of my birthplace, especially the football games with my friends.",Sport
How can I develop an app myself?,Technology
They all thought she was hot. She was the school's chosen sweetheart.,CareerAndEducation
People how to spend large amounts of money to show themselves as rich.,Money
I was traumatized because of her music.,Music
My friend fell in love.,Friendship
What is your idea about motivation?,CareerAndEducation
My colleagues had a bad fight today.,Colleagues
I feel like fighting with my boss.,Colleagues
Our store is the largest online furniture store in UK.,Technology
I think I should take guitar classes every weekend.,Music
Number of candidates for the job are more than vacancies.,CareerAndEducation
I think my friend is jealous of me.,Friendship
I became too fixated while playing the guitar.,Music
"This cousin of mine I'll be meeting for the first time, is 13 years old and I haven't even decided what gift I should get him.",Family
My friends are so silly.,Friendship
My friend is sad.,Friendship
"Friends was a great show, but how many of the characters would you actually want to be friends with?",FilmAndTV
My boss talked to me about the importance of ethical behaviour.,Colleagues
The UK wanted to go through with Brexit to exercise stricter border control.,Politics
Should I attend my colleague's party?,Colleagues
My uncle got me chocolates from Italy.,Food
I like to watch the wild animals of Africa with my friends.,Friendship
Celebrities are generally not intelligent.,FilmAndTV
Many movies have been made on aliens.,FilmAndTV
For me summers is the definition of swimming and water sports.,Food
The kids asked me about their mother.,Family
Update your applications in your phone.,Technology
My colleague needs my help in making a PowerPoint presentation.,Colleagues
I saw most of the kids licking an orange ice-bar.,Food
I love to play football.,Sport
The labour market may be increasing the vulnerabilities of young adults to exploitation.,Politics
There is a literature competition in my school.,Sport
Champions eat bananas for breakfast,Food
I had a fight with one of my schoolmates today.,Colleagues
Liam found out that his colleague didn't find his project good and told the boss.,Colleagues
My boyfriend is a real gentleman.,Partner
The guitar looked really good and I wanted to possess one!,Music
I like the new movie.,FilmAndTV
Our school management is extremely controversial,CareerAndEducation
There are many people trying to buy houses.,Money
We had a big fight.,Friendship
How do I make my family love me?,Family
I have downloaded a new application on my phone which is so much fun.,Technology
I want to get a puppy for my son.,Family
I remember watching my first movie with him.,FilmAndTV
Some people say election is fun.,Politics
Do partners love each other selflessly?,Partner
This snoozing option on our phones for the alarm just spoils us.,Technology
My little brother loves to decoupage.,Family
We want to have three kids.,Family
I want to try a different method to solve complex engineering problems.,Technology
I like them and their stupid memories.,Health
He spends hours on this new video game!,Technology
My friends are apt for the project.,Friendship
My partner and I have decided to stay away from each other.,Partner
"Better not to ignore the past but learn from it instead. Otherwise, history has a way of repeating itself.",Family
My school had principles.,CareerAndEducation
My new teammates for this project are more than capable to make it a success.,Colleagues
What can I do to remain healthy?,Health
Poverty needs to be eradicated.,Money
I love to cook!,Food
I won the singing competition!,Sport
I like to read weird and interesting facts online.,Technology
I haven`t seen any of my fellow actors for a long time.,FilmAndTV
Should I read more books to educate myself?,CareerAndEducation
I would love to learn to play guitar.,Music
Some believe that animals are in the planet only so that we can eat them.,Food
Is law a good career option?,Politics
I have been reading online books and articles on parenting.,Technology
I know the emergency. I just don't know why it disturbed my music.,Music
Most of my friends are book freaks and that is usually what we end up talking about!,Friendship
My health seems to be turning fine.,Health
I like to watch reality TV shows.,FilmAndTV
His dad is not well. His mom passed away last month. I pity him.,Family
I have been taught ethics from my childhood. I follow some values and ethics in everything I do.,Family
My knee sustained a cut as I bruised past something pointed this morning!,Health
I feel TV series are forcefully extended sometimes.,FilmAndTV
Things taught in school are mostly irrelevant to real world problems.,CareerAndEducation
It's better to be a single parent than to fight with your partner every day about parenting.,Partner
Jennifer Lawrence was on The Ellen Show tonight!,FilmAndTV
Listening to rock music is really fun.,Music
I wish I were a movie star!,FilmAndTV
I don't think I can handle my dictator boss anymore.,CareerAndEducation
"As soon as my parents left, I called my friends.",Friendship
My friends got me a marvellous cake on my birthday.,Food
My colleagues work for long hours before performance appraisals.,Colleagues
"As a child, I loved making houses out of mud.",Family
I have never been to the gym before!,Sport
I will perhaps take the employees on a picnic!,CareerAndEducation
The craze for boxing made tickets sell like bad!,Sport
I do not like to listen to my parents.,Family
Hey which sport do you like?,Sport
I aim to be an expert in military sports.,Sport
What would you do if you became the Prime Minister someday?,Politics
George has most things figured out about the wedding.,Friendship
Finally I have made my parents proud.,Family
My exams are knocking at my door!,CareerAndEducation
I don't prefer popcorn during movie.,FilmAndTV
He likes science fiction.,FilmAndTV
I don't seem to be able to earn enough to pay my bills.,Money
My classmates have misunderstood me.,Colleagues
I want to smack my boss and leave my job.,CareerAndEducation
Kids at home are troubling me. I don't know what to do!,Family
My colleague needs to get a haircut.,Colleagues
I came to know that my best friend at work left our company today.,Friendship
I can repair a computer.,Technology
My boss is the kindest person I know.,Colleagues
My niece reads the Bible everyday.,Family
Most of the world's wealth is in the hands of a few people.,Money
My parents were very happy on my wedding.,Family
We often can't see what goes on with a person behind the mask he/she wears for the world. Unfortunately Robin's death is a perfect example for this.,FilmAndTV
I can't decide between these dresses I have.,Technology
Quidditch is an imaginary game.,Sport
I don't enjoy the classical or neoclassical music.,Music
Corruption has engulfed the whole political system.,Politics
My health is not keeping good!,Health
There is the school function this week.,CareerAndEducation
I was down with fever yesterday.,Health
Shakespeare and his language is a hard nut to crack.,Food
Baked goods are like comfort for the soul.,Food
What should I do on internet?,Technology
